Feature,Mean |SHAP|
numerical__CrossArms_LeftWrist_acc_z_spectral_entropy,0.0
numerical__DrinkGlas_LeftWrist_gyro_x_spectral_centroid,0.0
numerical__DrinkGlas_LeftWrist_gyro_x_dominant_frequency,0.0
numerical__DrinkGlas_LeftWrist_gyro_magnitude_spectral_entropy,0.0
numerical__DrinkGlas_LeftWrist_gyro_magnitude_spectral_centroid,0.0
numerical__DrinkGlas_LeftWrist_acc_z_spectral_entropy,0.0
numerical__DrinkGlas_LeftWrist_acc_z_dominant_frequency,0.0
numerical__DrinkGlas_LeftWrist_acc_x_dominant_frequency,0.0
numerical__CrossArms_RightWrist_gyro_z_spectral_entropy,0.0
numerical__CrossArms_RightWrist_gyro_z_spectral_centroid,0.0
numerical__CrossArms_RightWrist_gyro_y_spectral_centroid,0.0
numerical__CrossArms_RightWrist_gyro_y_dominant_frequency,0.0
numerical__CrossArms_RightWrist_gyro_x_dominant_frequency,0.0
numerical__CrossArms_RightWrist_gyro_magnitude_spectral_entropy,0.0
numerical__CrossArms_RightWrist_acc_z_dominant_frequency,0.0
numerical__CrossArms_Left_GyroX_Max,0.0
numerical__HoldWeight_LeftWrist_acc_magnitude_spectral_centroid,0.0
numerical__Entrainment_RightWrist_acc_z_spectral_centroid,0.0
numerical__Entrainment_RightWrist_acc_y_spectral_entropy,0.0
numerical__Entrainment_LeftWrist_acc_z_spectral_entropy,0.0
numerical__Entrainment_LeftWrist_acc_z_spectral_centroid,0.0
numerical__DrinkGlas_RightWrist_gyro_z_spectral_entropy,0.0
numerical__DrinkGlas_RightWrist_gyro_y_spectral_entropy,0.0
numerical__DrinkGlas_RightWrist_gyro_x_spectral_centroid,0.0
numerical__DrinkGlas_RightWrist_gyro_x_dominant_frequency,0.0
numerical__DrinkGlas_LeftWrist_gyro_x_spectral_power,0.0
numerical__DrinkGlas_LeftWrist_gyro_x_spectral_entropy,0.0
numerical__Q05,0.0
numerical__miscellaneous_count,0.0
numerical__HoldWeight_Left_GyroX_RMS,0.0
numerical__DrinkGlas_Left_GyroX_RMS,0.0
numerical__Q10,0.0
numerical__PointFinger_Left_AccX_Median,0.0
numerical__LiftHold_Left_GyroX_IQR,0.0
numerical__HoldWeight_Left_GyroX_IQR,0.0
numerical__DrinkGlas_Left_GyroX_IQR,0.0
numerical__CrossArms_Left_GyroX_IQR,0.0
numerical__LiftHold_Left_GyroX_Range,0.0
numerical__HoldWeight_Right_GyroX_Range,0.0
numerical__HoldWeight_Left_GyroX_Range,0.0
numerical__LiftHold_Left_GyroX_Max,0.0
numerical__HoldWeight_Right_GyroX_Max,0.0
numerical__HoldWeight_Left_GyroX_Max,0.0
numerical__HoldWeight_Right_GyroX_Std,0.0
numerical__HoldWeight_Left_GyroX_Std,0.0
numerical__DrinkGlas_Left_GyroX_Std,0.0
numerical__DrinkGlas_Left_AccZ_Energy,0.0
numerical__StretchHold_Left_AccZ_RMS,0.0
numerical__LiftHold_Left_AccZ_RMS,0.0
numerical__HoldWeight_Left_AccZ_RMS,0.0
numerical__HoldWeight_RightWrist_acc_y_spectral_centroid,0.0
numerical__HoldWeight_RightWrist_acc_x_spectral_centroid,0.0
numerical__HoldWeight_RightWrist_acc_magnitude_spectral_entropy,0.0
numerical__HoldWeight_RightWrist_acc_magnitude_spectral_centroid,0.0
numerical__HoldWeight_LeftWrist_gyro_z_dominant_frequency,0.0
numerical__HoldWeight_LeftWrist_gyro_y_spectral_power,0.0
numerical__HoldWeight_LeftWrist_gyro_x_spectral_entropy,0.0
numerical__HoldWeight_LeftWrist_acc_z_spectral_entropy,0.0
numerical__HoldWeight_LeftWrist_acc_z_spectral_centroid,0.0
numerical__LiftHold_LeftWrist_gyro_x_dominant_frequency,0.0
numerical__LiftHold_LeftWrist_gyro_magnitude_spectral_entropy,0.0
numerical__LiftHold_LeftWrist_gyro_magnitude_spectral_centroid,0.0
numerical__LiftHold_LeftWrist_acc_z_spectral_entropy,0.0
numerical__LiftHold_LeftWrist_acc_z_spectral_centroid,0.0
numerical__LiftHold_LeftWrist_acc_y_spectral_entropy,0.0
numerical__LiftHold_LeftWrist_acc_x_spectral_entropy,0.0
numerical__LiftHold_LeftWrist_acc_x_spectral_centroid,0.0
numerical__HoldWeight_RightWrist_gyro_y_spectral_power,0.0
numerical__HoldWeight_RightWrist_gyro_x_spectral_entropy,0.0
numerical__HoldWeight_RightWrist_gyro_magnitude_dominant_frequency,0.0
numerical__pain_count,0.0
numerical__HoldWeight_RightWrist_acc_y_spectral_entropy,0.0
numerical__LiftHold_Left_GyroX_Min,0.0
numerical__HoldWeight_Left_GyroX_Min,0.0
numerical__LiftHold_Left_GyroX_Std,0.0
numerical__PointFinger_LeftWrist_gyro_x_dominant_frequency,0.0
numerical__PointFinger_LeftWrist_gyro_magnitude_spectral_power,0.0
numerical__PointFinger_LeftWrist_gyro_magnitude_spectral_entropy,0.0
numerical__PointFinger_LeftWrist_acc_magnitude_dominant_frequency,0.0
numerical__LiftHold_RightWrist_gyro_y_spectral_entropy,0.0
numerical__LiftHold_RightWrist_gyro_x_dominant_frequency,0.0
numerical__LiftHold_RightWrist_gyro_magnitude_spectral_centroid,0.0
numerical__LiftHold_RightWrist_acc_z_spectral_entropy,0.0
numerical__Q30,0.0
numerical__LiftHold_RightWrist_acc_z_dominant_frequency,0.0
numerical__LiftHold_RightWrist_acc_y_spectral_entropy,0.0
numerical__LiftHold_RightWrist_acc_x_spectral_centroid,0.0
numerical__LiftHold_RightWrist_acc_x_dominant_frequency,0.0
numerical__Q29,0.0
numerical__LiftHold_LeftWrist_gyro_y_spectral_entropy,0.0
numerical__LiftHold_LeftWrist_gyro_y_spectral_centroid,0.0
numerical__LiftHold_Left_AccZ_IQR,0.0
numerical__HoldWeight_Left_AccZ_IQR,0.0
numerical__DrinkGlas_Right_AccZ_IQR,0.0
numerical__CrossArms_Right_AccZ_IQR,0.0
numerical__CrossArms_Left_AccZ_IQR,0.0
numerical__StretchHold_Left_AccZ_Range,0.0
numerical__StretchHold_Left_AccZ_Max,0.0
numerical__TouchNose_Right_AccZ_Min,0.0
numerical__StretchHold_Left_AccZ_Std,0.0
numerical__LiftHold_Left_AccZ_Std,0.0
numerical__HoldWeight_Left_AccZ_Std,0.0
numerical__Q28,0.0
numerical__PointFinger_RightWrist_gyro_magnitude_spectral_entropy,0.0
numerical__PointFinger_RightWrist_acc_y_dominant_frequency,0.0
numerical__PointFinger_RightWrist_acc_x_spectral_entropy,0.0
