Feature,Mean |SHAP|
numerical__CrossArms_RightWrist_acc_magnitude_spectral_entropy,0.0006629226
numerical__DrinkGlas_Left_GyroX_IQR,0.0006540252
numerical__TouchNose_LeftWrist_acc_x_spectral_centroid,0.0006468563
numerical__Relaxed_RightWrist_gyro_y_dominant_frequency,0.00063860073
numerical__HoldWeight_Left_AccMag_RMS,0.0006314066
numerical__HoldWeight_Left_AccMag_IQR,0.0006103398
numerical__CrossArms_Left_AccY_IQR,0.0006019494
numerical__LiftHold_Left_AccX_IQR,0.0005988571
numerical__DrinkGlas_LeftWrist_gyro_x_spectral_entropy,0.0005594826
numerical__TouchNose_Left_GyroY_Std,0.000553843
numerical__LiftHold_Left_AccY_Max,0.0005327278
numerical__LiftHold_LeftWrist_gyro_x_dominant_frequency,0.0005191368
numerical__StretchHold_Left_GyroZ_IQR,0.0004953865
numerical__LiftHold_Left_AccX_Std,0.000469251
numerical__CrossArms_RightWrist_acc_x_spectral_entropy,0.00045458472
numerical__LiftHold_RightWrist_acc_magnitude_spectral_centroid,0.00045203394
numerical__LiftHold_RightWrist_gyro_y_spectral_entropy,0.00044878302
numerical__Entrainment_RightWrist_acc_y_spectral_centroid,0.00044092044
numerical__CrossArms_RightWrist_gyro_y_dominant_frequency,0.00043513902
numerical__PointFinger_Left_GyroY_Energy,0.0004194791
numerical__LiftHold_RightWrist_acc_y_spectral_entropy,0.0004183139
numerical__TouchNose_Right_GyroY_IQR,0.00040261712
numerical__CrossArms_LeftWrist_gyro_z_spectral_entropy,0.00038846224
numerical__TouchNose_Right_AccX_IQR,0.00037974515
numerical__TouchNose_Left_GyroMag_Mean,0.00035050252
numerical__HoldWeight_Right_GyroMag_Std,0.00034298113
numerical__LiftHold_LeftWrist_acc_z_spectral_centroid,0.00033232884
numerical__HoldWeight_Left_AccMag_Mean,0.0003117696
numerical__LiftHold_RightWrist_gyro_x_dominant_frequency,0.0002972785
numerical__StretchHold_Left_AccX_Std,0.00027754862
numerical__DrinkGlas_LeftWrist_acc_z_spectral_entropy,0.00026664944
numerical__DrinkGlas_RightWrist_gyro_y_spectral_entropy,0.00026228628
numerical__LiftHold_Left_GyroMag_Max,0.00023681598
numerical__DrinkGlas_Right_GyroY_IQR,0.00017812864
numerical__TouchNose_Right_GyroY_Std,0.00016990746
numerical__CrossArms_Right_AccZ_IQR,0.00016054968
numerical__TouchNose_Right_GyroY_Range,0.00015875715
numerical__TouchNose_RightWrist_gyro_magnitude_spectral_entropy,0.0001461012
numerical__CrossArms_LeftWrist_gyro_magnitude_spectral_entropy,0.00014561274
numerical__Q15,0.00012302835
numerical__DrinkGlas_Right_AccX_IQR,0.0
numerical__HoldWeight_Left_AccX_IQR,0.0
numerical__Q27,0.0
numerical__CrossArms_Right_AccX_IQR,0.0
numerical__Q12,0.0
numerical__Q13,0.0
numerical__Q14,0.0
numerical__Q16,0.0
numerical__Q18,0.0
numerical__Q19,0.0
numerical__Q20,0.0
numerical__DrinkGlas_Left_AccX_IQR,0.0
numerical__Q29,0.0
numerical__Q30,0.0
numerical__pain_count,0.0
numerical__miscellaneous_count,0.0
numerical__apathy_attention_memory_count,0.0
numerical__sexual_function_count,0.0
numerical__Q10,0.0
numerical__Q28,0.0
numerical__HoldWeight_RightWrist_gyro_x_spectral_entropy,0.0
numerical__DrinkGlas_Left_GyroZ_Energy,0.0
numerical__DrinkGlas_Right_GyroZ_RMS,0.0
numerical__DrinkGlas_Left_GyroZ_RMS,0.0
categorical__family_history_first_degree_No,0.0
categorical__gender_Male,0.0
categorical__gender_Female,0.0
numerical__Q24,0.0
numerical__Q21,0.0
numerical__TouchIndex_Right_GyroZ_Min,0.0
numerical__CrossArms_Right_AccMag_Median,0.0
numerical__StretchHold_Left_AccMag_Mean,0.0
numerical__TouchNose_Left_GyroY_Energy,0.0
numerical__LiftHold_RightWrist_acc_x_dominant_frequency,0.0
numerical__LiftHold_RightWrist_acc_z_dominant_frequency,0.0
numerical__LiftHold_LeftWrist_gyro_magnitude_spectral_entropy,0.0
numerical__LiftHold_Left_GyroZ_Range,0.0
numerical__HoldWeight_LeftWrist_gyro_z_dominant_frequency,0.0
numerical__HoldWeight_LeftWrist_gyro_y_spectral_power,0.0
numerical__TouchNose_Left_GyroZ_Range,0.0
numerical__PointFinger_LeftWrist_gyro_magnitude_spectral_entropy,0.0
numerical__PointFinger_LeftWrist_acc_magnitude_dominant_frequency,0.0
numerical__PointFinger_LeftWrist_gyro_x_dominant_frequency,0.0
numerical__LiftHold_Right_GyroZ_IQR,0.0
numerical__HoldWeight_Left_GyroY_IQR,0.0
numerical__TouchNose_Left_GyroY_RMS,0.0
numerical__LiftHold_Left_AccMag_RMS,0.0
numerical__HoldWeight_Left_AccMag_Median,0.0
numerical__HoldWeight_LeftWrist_gyro_x_spectral_entropy,0.0
numerical__TouchNose_Right_GyroY_Energy,0.0
numerical__CrossArms_Right_GyroZ_Mean,0.0
numerical__HoldWeight_Right_GyroY_Energy,0.0
numerical__DrinkGlas_Right_AccMag_Mean,0.0
numerical__LiftHold_Left_AccMag_Mean,0.0
numerical__HoldWeight_Right_GyroX_RMS,0.0
numerical__RelaxedTask_RightWrist_acc_z_spectral_centroid,0.0
numerical__CrossArms_Left_GyroX_Energy,0.0
numerical__DrinkGlas_Left_GyroX_Energy,0.0
numerical__PointFinger_Right_GyroY_Median,0.0
numerical__LiftHold_Left_GyroX_RMS,0.0
numerical__HoldWeight_Right_GyroY_Std,0.0
numerical__HoldWeight_Left_GyroY_Max,0.0
numerical__Relaxed_LeftWrist_gyro_z_spectral_entropy,0.0
numerical__DrinkGlas_LeftWrist_gyro_magnitude_spectral_centroid,0.0
numerical__DrinkGlas_LeftWrist_gyro_magnitude_spectral_entropy,0.0
numerical__DrinkGlas_LeftWrist_gyro_x_dominant_frequency,0.0
numerical__DrinkGlas_LeftWrist_gyro_x_spectral_centroid,0.0
numerical__CrossArms_Right_AccMag_Min,0.0
numerical__LiftHold_Left_AccMag_Min,0.0
numerical__LiftHold_Right_AccMag_IQR,0.0
numerical__StretchHold_Left_AccMag_IQR,0.0
numerical__CrossArms_Left_GyroX_Max,0.0
